#Annotated with Bakta v1.11.4, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_2	797377	797685	-	DLEPHM_00733	11.7	4.9		RefSeq:WP_011163428.1, SO:0001217, UniParc:UPI0000224A5E, UniRef:UniRef100_Q6MPH2, UniRef:UniRef50_A0A1Z3NAX8, UniRef:UniRef90_A0A1Z3NAX8
contig_2	803846	804400	+	DLEPHM_00740	20.1	4.9		RefSeq:WP_175575988.1, SO:0001217, UniParc:UPI0002D962D7, UniRef:UniRef100_Q6MPI0, UniRef:UniRef50_Q6MPI0, UniRef:UniRef90_Q6MPI0
contig_2	813906	814145	-	DLEPHM_00750	8.4	7.8		RefSeq:WP_041583463.1, SO:0001217, UniParc:UPI0005A1A00C, UniRef:UniRef100_UPI0005A1A00C, UniRef:UniRef50_A0A1Z3NAZ0, UniRef:UniRef90_A0A1Z3NAZ0
contig_2	868168	868410	-	DLEPHM_00803	9.4	8.6		
contig_2	884703	885728	-	DLEPHM_00822	39.0	5.2		RefSeq:WP_011163346.1, SO:0001217, UniParc:UPI0000224A0C, UniRef:UniRef100_Q6MPQ3, UniRef:UniRef50_M4V904, UniRef:UniRef90_K7YUX0
contig_2	887906	888496	-	DLEPHM_00826	21.8	6.0		SO:0001217, UniRef:UniRef50_Q6MPQ7, UniRef:UniRef90_Q6MPQ7
contig_2	891356	891820	-	DLEPHM_00831	17.4	9.3		RefSeq:WP_011163337.1, SO:0001217, UniParc:UPI0000224A03, UniRef:UniRef100_Q6MPR2, UniRef:UniRef50_Q6MPR2, UniRef:UniRef90_Q6MPR2
contig_2	918312	919883	+	DLEPHM_00859	58.1	5.1		RefSeq:WP_011163308.1, SO:0001217, UniParc:UPI00002249E6, UniRef:UniRef100_Q6MPU1, UniRef:UniRef50_K7ZEF8, UniRef:UniRef90_K7ZEF8
contig_2	920728	921918	+	DLEPHM_00861	44.9	8.7		RefSeq:WP_367143688.1, SO:0001217, UniParc:UPI00269AE743, UniRef:UniRef100_UPI00269AE743, UniRef:UniRef50_K7YUT4, UniRef:UniRef90_K7YUT4
contig_2	921909	922310	+	DLEPHM_00862	15.0	5.0		RefSeq:WP_231839272.1, SO:0001217, UniParc:UPI0002DF6032, UniRef:UniRef100_UPI0002DF6032, UniRef:UniRef50_K7Z7U9, UniRef:UniRef90_K7Z7U9
contig_2	929395	929547	-	DLEPHM_00870	5.9	10.3		RefSeq:WP_011163297.1, SO:0001217, UniParc:UPI00002249DB, UniRef:UniRef100_Q6MPV2, UniRef:UniRef50_Q6MPV2, UniRef:UniRef90_Q6MPV2
contig_2	948004	948255	-	DLEPHM_00882	9.2	4.7		RefSeq:WP_011163285.1, SO:0001217, UniParc:UPI00002249CF, UniRef:UniRef100_Q6MPW4, UniRef:UniRef50_Q6MPW4, UniRef:UniRef90_Q6MPW4
contig_2	949255	950100	+	DLEPHM_00884	31.3	5.9		RefSeq:WP_011163283.1, SO:0001217, UniParc:UPI00002249CD, UniRef:UniRef100_Q6MPW6, UniRef:UniRef50_K7YKY1, UniRef:UniRef90_K7YKY1
contig_2	960606	960890	-	DLEPHM_00896	10.8	5.7		RefSeq:WP_011163271.1, SO:0001217, UniParc:UPI00002249C1, UniRef:UniRef100_Q6MPX8, UniRef:UniRef50_Q6MPX8, UniRef:UniRef90_Q6MPX8
contig_2	977247	977486	-	DLEPHM_00905	8.6	5.0		RefSeq:WP_041583456.1, SO:0001217, UniParc:UPI0002E4C221, UniRef:UniRef100_Q6MPY7, UniRef:UniRef50_Q6MPY7, UniRef:UniRef90_Q6MPY7
contig_2	981590	981922	+	DLEPHM_00910	12.3	5.3		RefSeq:WP_011163257.1, SO:0001217, UniParc:UPI00002249B3, UniRef:UniRef100_Q6MPZ2, UniRef:UniRef50_Q6MPZ2, UniRef:UniRef90_Q6MPZ2
contig_2	983889	984668	+	DLEPHM_00912	29.4	9.0		RefSeq:WP_011163255.1, SO:0001217, UniParc:UPI00002249B1, UniRef:UniRef100_Q6MPZ4, UniRef:UniRef50_K7YUN7, UniRef:UniRef90_K7YUN7
contig_2	999963	1000352	+	DLEPHM_00926	13.9	7.6		RefSeq:WP_011163242.1, SO:0001217, UniParc:UPI00002249A4, UniRef:UniRef100_Q6MQ07, UniRef:UniRef50_Q6MQ07, UniRef:UniRef90_Q6MQ07
contig_2	1000403	1000687	+	DLEPHM_00927	9.9	4.3		RefSeq:WP_011163241.1, SO:0001217, UniParc:UPI00002249A3, UniRef:UniRef100_Q6MQ08, UniRef:UniRef50_Q6MQ08, UniRef:UniRef90_Q6MQ08
contig_2	1000709	1001242	+	DLEPHM_00928	19.6	6.2		RefSeq:WP_011163240.1, SO:0001217, UniParc:UPI00002249A2, UniRef:UniRef100_Q6MQ09, UniRef:UniRef50_Q6MQ09, UniRef:UniRef90_Q6MQ09
contig_2	1004272	1004742	-	DLEPHM_00931	16.9	5.5		RefSeq:WP_157865640.1, SO:0001217, UniParc:UPI00030DAB02, UniRef:UniRef100_Q6MQ12, UniRef:UniRef50_Q6MQ12, UniRef:UniRef90_Q6MQ12
contig_2	1009715	1010215	+	DLEPHM_00935	18.5	4.2		RefSeq:WP_011163232.1, SO:0001217, UniParc:UPI000022499A, UniRef:UniRef100_Q6MQ17, UniRef:UniRef50_Q6MQ17, UniRef:UniRef90_Q6MQ17
contig_2	1010356	1010694	+	DLEPHM_00936	12.0	5.0		RefSeq:WP_011163231.1, SO:0001217, UniParc:UPI0000224999, UniRef:UniRef100_Q6MQ18, UniRef:UniRef50_Q6MQ18, UniRef:UniRef90_Q6MQ18
contig_2	1017624	1018187	-	DLEPHM_00943	21.0	4.9		RefSeq:WP_011163223.1, SO:0001217, UniParc:UPI0000224991, UniRef:UniRef100_Q6MQ26, UniRef:UniRef50_K7Z7N2, UniRef:UniRef90_K7Z7N2
contig_2	1019430	1019672	-	DLEPHM_00945	9.1	8.2		RefSeq:WP_011163221.1, SO:0001217, UniParc:UPI000022498F, UniRef:UniRef100_Q6MQ28, UniRef:UniRef50_K7ZEC2, UniRef:UniRef90_K7ZEC2
contig_2	1028369	1028764	+	DLEPHM_00955	14.4	8.4		RefSeq:WP_011163211.1, SO:0001217, UniParc:UPI0000224985, UniRef:UniRef100_Q6MQ38, UniRef:UniRef50_Q6MQ38, UniRef:UniRef90_Q6MQ38
contig_2	1031032	1031334	+	DLEPHM_00958	11.5	8.6		RefSeq:WP_038451423.1, SO:0001217, UniParc:UPI0002F6F0BC, UniRef:UniRef100_Q6MQ41, UniRef:UniRef50_Q6MQ41, UniRef:UniRef90_Q6MQ41
contig_2	1032918	1033730	-	DLEPHM_00961	31.8	9.1		RefSeq:WP_367143676.1, SO:0001217, UniParc:UPI0026BEF5B5, UniRef:UniRef100_Q6MQ44, UniRef:UniRef50_Q6MQ44, UniRef:UniRef90_Q6MQ44
contig_2	1034500	1034763	-	DLEPHM_00963	9.7	10.2		SO:0001217, UniRef:UniRef50_A0A1Z3NBJ3, UniRef:UniRef90_A0A1Z3NBJ3
contig_2	1052070	1052753	-	DLEPHM_00983	26.0	4.9		RefSeq:WP_011163185.1, SO:0001217, UniParc:UPI000022496B, UniRef:UniRef100_Q6MQ64, UniRef:UniRef50_A0A150WSC6, UniRef:UniRef90_K7ZEA7
contig_2	1066674	1066868	-	DLEPHM_00995	7.6	9.4		
contig_2	1067130	1067318	+	DLEPHM_00996	7.3	5.5		
contig_2	1102715	1104508	+	DLEPHM_01030	63.3	5.2		RefSeq:WP_011163139.1, SO:0001217, UniParc:UPI000022493D, UniRef:UniRef100_Q6MQB0, UniRef:UniRef50_A0A150WIB3, UniRef:UniRef90_K7ZE88
contig_2	1106283	1107971	+	DLEPHM_01032	62.1	8.3		RefSeq:WP_041583446.1, SO:0001217, UniParc:UPI0005A227D3, UniRef:UniRef100_Q6MQB2, UniRef:UniRef50_K7YUC2, UniRef:UniRef90_Q6MQB2
contig_2	1111053	1112222	-	DLEPHM_01036	43.2	9.4		RefSeq:WP_226987976.1, SO:0001217, UniParc:UPI001D051867, UniRef:UniRef100_Q6MQB6, UniRef:UniRef50_K7YKI5, UniRef:UniRef90_K7YKI5
contig_2	1116729	1117388	-	DLEPHM_01043	25.0	5.4		RefSeq:WP_011163126.1, SO:0001217, UniParc:UPI0000224930, UniRef:UniRef100_Q6MQC3, UniRef:UniRef50_K7Z7F2, UniRef:UniRef90_K7Z7F2
contig_2	1137880	1139259	-	DLEPHM_01065	45.4	5.1		SO:0001217, UniRef:UniRef50_Q6MQE4, UniRef:UniRef90_Q6MQE4
contig_2	1139324	1140655	-	DLEPHM_01066	43.8	4.9		SO:0001217, UniRef:UniRef50_Q6MQE7, UniRef:UniRef90_Q6MQE6
contig_2	1140751	1142292	-	DLEPHM_01067	51.9	5.3		RefSeq:WP_041583444.1, SO:0001217, UniParc:UPI00059FA82B, UniRef:UniRef100_Q6MQE7, UniRef:UniRef50_Q6MQE7, UniRef:UniRef90_Q6MQE7
contig_2	1145403	1145831	+	DLEPHM_01070	15.1	4.8		RefSeq:WP_038450859.1, SO:0001217, UniParc:UPI0002FE4DE8, UniRef:UniRef100_Q6MQF0, UniRef:UniRef50_K7ZE72, UniRef:UniRef90_K7ZE72
contig_2	1148723	1148839	+	DLEPHM_01075	4.5	9.9		
contig_2	1151085	1151444	-	DLEPHM_01078	12.8	7.9		
contig_2	1165044	1166888	-	DLEPHM_01090	68.4	5.3		RefSeq:WP_011163079.1, SO:0001217, UniParc:UPI0000224901, UniRef:UniRef100_Q6MQH0, UniRef:UniRef50_Q6MQH0, UniRef:UniRef90_Q6MQH0
