# Annotated with Bakta
# Software: v1.11.4
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Gene	Product	DbXrefs
contig_2	cds	12383	14212	+	DLEPHM_00012	mdoB	Phosphoglycerol transferase	COG:COG1368, COG:M, RefSeq:WP_011164145.1, SO:0001217, UniParc:UPI0000224D2B, UniRef:UniRef100_Q6MMG1, UniRef:UniRef50_K7YNG5, UniRef:UniRef90_K7YNG5
contig_2	cds	14227	15690	-	DLEPHM_00013	arnT	Glycosyltransferase RgtA/B/C/D-like domain-containing protein	COG:COG1807, COG:M, RefSeq:WP_011164144.1, SO:0001217, UniParc:UPI0000224D2A, UniRef:UniRef100_Q6MMG2, UniRef:UniRef50_Q6MMG2, UniRef:UniRef90_Q6MMG2
contig_2	cds	15812	16852	-	DLEPHM_00014		SGNH hydrolase-type esterase domain-containing protein	RefSeq:WP_041583515.1, SO:0001217, UniParc:UPI0002FB14A1, UniRef:UniRef100_Q6MMG3, UniRef:UniRef50_K7YUN5, UniRef:UniRef90_K7YUN5
contig_2	cds	16862	18274	-	DLEPHM_00015	dltB	Alginate o-acetyltransferase AlgI	COG:COG1696, COG:M, KEGG:K19294, RefSeq:WP_011164142.1, SO:0001217, UniParc:UPI0000224D28, UniRef:UniRef100_Q6MMG4, UniRef:UniRef50_K7ZFB2, UniRef:UniRef90_K7ZFB2
contig_2	cds	18380	22372	-	DLEPHM_00016	hepA	Helicase/SNF2 family protein	COG:COG0553, COG:KL, SO:0001217, UniParc:UPI0000224D27, UniRef:UniRef100_Q6MMG5, UniRef:UniRef50_A0A162G022, UniRef:UniRef90_K7YX98
contig_2	cds	22375	23400	-	DLEPHM_00017	wcaG	CDP-D-glucose-4,6-dehydratase	COG:COG0451, COG:M, EC:4.2.1.45, KEGG:K01709, RefSeq:WP_011164140.1, SO:0001217, UniParc:UPI0000224D26, UniRef:UniRef100_Q6MMG6, UniRef:UniRef50_Q6MMG6, UniRef:UniRef90_Q6MMG6
contig_2	cds	23404	23718	-	DLEPHM_00018		N-acetyltransferase domain-containing protein	RefSeq:WP_011164139.1, SO:0001217, UniParc:UPI0000224D25, UniRef:UniRef100_Q6MMG7, UniRef:UniRef50_Q6MMG7, UniRef:UniRef90_Q6MMG7
contig_2	cds	23775	24515	-	DLEPHM_00019		hypothetical protein	RefSeq:WP_011164138.1, SO:0001217, UniParc:UPI0000224D24, UniRef:UniRef100_Q6MMG8, UniRef:UniRef50_Q6MMG8, UniRef:UniRef90_Q6MMG8
contig_2	cds	24655	25617	+	DLEPHM_00020		DUF6268 domain-containing protein	SO:0001217, UniParc:UPI0000224D23, UniRef:UniRef100_Q6MMG9, UniRef:UniRef50_A0A150WC34, UniRef:UniRef90_Q6MMG9
contig_2	cds	25800	26567	-	DLEPHM_00021	pstB	phosphate ABC transporter ATP-binding protein PstB	COG:COG1117, COG:P, EC:7.3.2.1, GO:0005524, GO:0005886, GO:0006817, GO:0009898, GO:0015415, GO:0016887, GO:0035435, GO:0055052, RefSeq:WP_011164136.1, SO:0001217, UniParc:UPI0000224D22, UniRef:UniRef100_Q6MMH0, UniRef:UniRef50_Q5WET7, UniRef:UniRef90_Q6MMH0
contig_2	cds	26571	27488	-	DLEPHM_00022	pstA	phosphate ABC transporter permease PstA	COG:COG0581, COG:P, GO:0005886, GO:0006817, GO:0015415, GO:0055052, RefSeq:WP_011164135.1, SO:0001217, UniParc:UPI0000224D21, UniRef:UniRef100_Q6MMH1, UniRef:UniRef50_A0A6I6MQL6, UniRef:UniRef90_Q6MMH1
contig_2	cds	27489	28364	-	DLEPHM_00023	pstC	phosphate ABC transporter permease subunit PstC	COG:COG0573, COG:P, GO:0005886, GO:0006817, GO:0015415, GO:0055052, RefSeq:WP_088565489.1, SO:0001217, UniParc:UPI0002EF23B3, UniRef:UniRef100_Q6MMH2, UniRef:UniRef50_A0A1B3LPD2, UniRef:UniRef90_Q6MMH2
contig_2	cds	28437	29438	-	DLEPHM_00024	pstS	Phosphate-binding protein	COG:COG0226, COG:P, RefSeq:WP_011164133.1, SO:0001217, UniParc:UPI0000224D1F, UniRef:UniRef100_Q6MMH3, UniRef:UniRef50_A0A069RGH7, UniRef:UniRef90_Q6MMH3
contig_2	cds	29562	31091	+	DLEPHM_00025		histidine kinase	COG:COG4191, COG:T, RefSeq:WP_011164132.1, SO:0001217, UniParc:UPI0000224D1E, UniRef:UniRef100_Q6MMH4, UniRef:UniRef50_K7YNE7, UniRef:UniRef90_K7YNE7
contig_2	cds	31085	31534	-	DLEPHM_00026	fur	Ferric uptake regulator-like protein	COG:COG0735, COG:P, RefSeq:WP_011164131.1, SO:0001217, UniParc:UPI0000224D1D, UniRef:UniRef100_Q6MMH5, UniRef:UniRef50_A0A0B8WG85, UniRef:UniRef90_Q6MMH5
contig_2	cds	31589	32305	-	DLEPHM_00027		Transmembrane protein	KEGG:K06203, RefSeq:WP_231839317.1, SO:0001217, UniParc:UPI001E50E092, UniRef:UniRef100_Q6MMH6, UniRef:UniRef50_A0A150WBX9, UniRef:UniRef90_A0A1Z3N939
contig_2	cds	32360	32953	+	DLEPHM_00028	phoE	Phosphoglycerate mutase	COG:COG0406, COG:G, RefSeq:WP_231839316.1, SO:0001217, UniParc:UPI001E581250, UniRef:UniRef100_UPI001E581250, UniRef:UniRef50_A0A150WLK7, UniRef:UniRef90_A0A1Z3N941
contig_2	cds	32938	35337	-	DLEPHM_00029		Cis/trans isomerase	RefSeq:WP_011164128.1, SO:0001217, UniParc:UPI0000224D1A, UniRef:UniRef100_Q6MMH8, UniRef:UniRef50_Q6MMH8, UniRef:UniRef90_Q6MMH8
contig_2	cds	35414	35932	+	DLEPHM_00030		DUF4375 domain-containing protein	RefSeq:WP_011164127.1, SO:0001217, UniParc:UPI0000224D19, UniRef:UniRef100_Q6MMH9, UniRef:UniRef50_K7YX85, UniRef:UniRef90_K7YX85
contig_2	cds	36016	37182	+	DLEPHM_00031	pepC	Aminopeptidase	COG:COG3579, COG:E, RefSeq:WP_011164126.1, SO:0001217, UniParc:UPI0000224D18, UniRef:UniRef100_Q6MMI0, UniRef:UniRef50_Q6MMI0, UniRef:UniRef90_Q6MMI0
contig_2	cds	37258	38373	+	DLEPHM_00032	ydiK	AI-2E family transporter YdiK	COG:COG0628, COG:R, RefSeq:WP_011164125.1, SO:0001217, UniParc:UPI0000224D17, UniRef:UniRef100_Q6MMI1, UniRef:UniRef50_Q6MMI1, UniRef:UniRef90_Q6MMI1
contig_2	cds	38402	38794	-	DLEPHM_00033		Putative ferredoxin	RefSeq:WP_011164124.1, SO:0001217, UniParc:UPI0000224D16, UniRef:UniRef100_Q6MMI2, UniRef:UniRef50_Q6MMI2, UniRef:UniRef90_Q6MMI2
contig_2	cds	38804	38992	-	DLEPHM_00034		Stress-induced protein	RefSeq:WP_011164123.1, SO:0001217, UniParc:UPI0000224D15, UniRef:UniRef100_Q6MMI3, UniRef:UniRef50_A0A514XHM1, UniRef:UniRef90_Q6MMI3
contig_2	cds	39291	39755	+	DLEPHM_00035		hypothetical protein	RefSeq:WP_050792908.1, SO:0001217, UniParc:UPI0002FAEE7F, UniRef:UniRef100_Q6MMI4, UniRef:UniRef50_K7Z9T0, UniRef:UniRef90_K7Z9T0
contig_2	cds	39863	40630	+	DLEPHM_00036		DUF4423 domain-containing protein	RefSeq:WP_011164121.1, SO:0001217, UniParc:UPI0000224D13, UniRef:UniRef100_Q6MMI5, UniRef:UniRef50_K7YUL3, UniRef:UniRef90_Q6MMI5
contig_2	cds	40627	40749	+	DLEPHM_00037		hypothetical protein	RefSeq:WP_011164120.1, SO:0001217, UniParc:UPI0000224D12, UniRef:UniRef100_Q6MMI6, UniRef:UniRef50_Q6MMI6, UniRef:UniRef90_Q6MMI6
contig_2	cds	40931	43213	+	DLEPHM_00038		Peptidase S74 domain-containing protein	RefSeq:WP_080558991.1, SO:0001217, UniParc:UPI00030E03D7, UniRef:UniRef100_Q6MMI8, UniRef:UniRef50_A0A514X1U5, UniRef:UniRef90_Q6MMI8
contig_2	tRNA	43221	43297	-	DLEPHM_00039	trnP	tRNA-Pro(ggg)	SO:0000268
contig_2	cds	43423	43962	-	DLEPHM_00040	soxR	Transcriptional regulator	COG:COG0789, COG:K, SO:0001217, UniRef:UniRef50_A0AA46T976, UniRef:UniRef90_K7YUK7
contig_2	cds	43937	44299	-	DLEPHM_00041	ihfA	integration host factor subunit alpha	COG:B, COG:COG0776, GO:0003677, GO:0005829, GO:0006310, GO:0006355, GO:0006417, GO:0030527, SO:0001217, UniParc:UPI00029D360E, UniRef:UniRef100_K7ZFA2, UniRef:UniRef50_Q6MMJ0, UniRef:UniRef90_Q6MMJ0
contig_2	cds	44375	46816	-	DLEPHM_00042	pheT	phenylalanine--tRNA ligase subunit beta	COG:COG0073, COG:J, EC:6.1.1.20, GO:0000049, GO:0000287, GO:0004826, GO:0005524, GO:0006432, GO:0009328, RefSeq:WP_011164115.1, SO:0001217, UniParc:UPI0000224D0D, UniRef:UniRef100_Q6MMJ1, UniRef:UniRef50_Q6MMJ1, UniRef:UniRef90_Q6MMJ1
contig_2	cds	46813	47838	-	DLEPHM_00043	pheS	phenylalanine--tRNA ligase subunit alpha	COG:COG0016, COG:J, EC:6.1.1.20, GO:0000049, GO:0000166, GO:0000287, GO:0004826, GO:0005524, GO:0005737, GO:0006432, RefSeq:WP_011164114.1, SO:0001217, UniParc:UPI0000224D0C, UniRef:UniRef100_Q6MMJ2, UniRef:UniRef50_Q6MMJ2, UniRef:UniRef90_Q6MMJ2
contig_2	cds	47950	48816	+	DLEPHM_00044	rsmG	16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	COG:COG0357, COG:J, EC:2.1.1.170, GO:0008168, GO:0031167, GO:0046118, KEGG:K03501, RefSeq:WP_011164113.1, SO:0001217, UniParc:UPI0000224D0B, UniRef:UniRef100_UPI0000224D0B, UniRef:UniRef50_Q6MMJ3, UniRef:UniRef90_K7Z9R9
contig_2	cds	48816	49943	+	DLEPHM_00045	ompR	Putative response regulator	COG:COG0745, COG:TK, RefSeq:WP_011164112.1, SO:0001217, UniParc:UPI0000224D0A, UniRef:UniRef100_Q6MMJ4, UniRef:UniRef50_A0A161PR58, UniRef:UniRef90_K7YUK2
contig_2	cds	49940	50353	+	DLEPHM_00046		hypothetical protein	RefSeq:WP_011164111.1, SO:0001217, UniParc:UPI0000224D09, UniRef:UniRef100_Q6MMJ5, UniRef:UniRef50_Q6MMJ5, UniRef:UniRef90_Q6MMJ5
contig_2	cds	50362	51117	+	DLEPHM_00047	spoU	23S rRNA methyltransferase	COG:COG0566, COG:J, RefSeq:WP_011164110.1, SO:0001217, UniParc:UPI0000224D08, UniRef:UniRef100_Q6MMJ6, UniRef:UniRef50_Q6MMJ6, UniRef:UniRef90_Q6MMJ6
contig_2	cds	51155	51892	-	DLEPHM_00048	alkD	DNA alkylation repair protein	COG:COG4912, COG:L, RefSeq:WP_011164109.1, SO:0001217, UniParc:UPI0000224D07, UniRef:UniRef100_Q6MMJ7, UniRef:UniRef50_Q6MMJ7, UniRef:UniRef90_Q6MMJ7
contig_2	cds	51919	52806	-	DLEPHM_00049	eRG12	GHMP kinase N-terminal domain-containing protein	COG:COG1577, COG:I, RefSeq:WP_011164108.1, SO:0001217, UniParc:UPI0000224D06, UniRef:UniRef100_Q6MMJ8, UniRef:UniRef50_K7Z9R5, UniRef:UniRef90_K7Z9R5
contig_2	cds	52796	53776	-	DLEPHM_00050	mvaD	diphosphomevalonate decarboxylase	COG:COG3407, COG:I, EC:4.1.1.33, GO:0004163, GO:0005829, GO:0019287, RefSeq:WP_011164107.1, SO:0001217, UniParc:UPI0000224D05, UniRef:UniRef100_Q6MMJ9, UniRef:UniRef50_A0A514WVE6, UniRef:UniRef90_K7YUJ6
contig_2	cds	53773	54672	-	DLEPHM_00051		Mevalonate kinase	RefSeq:WP_011164106.1, SO:0001217, UniParc:UPI0000224D04, UniRef:UniRef100_Q6MMK0, UniRef:UniRef50_K7ZF99, UniRef:UniRef90_K7ZF99
contig_2	cds	54682	55998	-	DLEPHM_00052	hMG1	hydroxymethylglutaryl-CoA reductase, degradative	COG:COG1257, COG:I, EC:1.1.1.88, GO:0004420, GO:0015936, GO:0016616, KEGG:K00054, RefSeq:WP_011164105.1, SO:0001217, UniParc:UPI0000224D03, UniRef:UniRef100_Q6MMK1, UniRef:UniRef50_M4VCF5, UniRef:UniRef90_Q6MMK1
contig_2	cds	55995	57038	-	DLEPHM_00053	fni	type 2 isopentenyl-diphosphate Delta-isomerase	COG:CIR, COG:COG1304, EC:5.3.3.2, GO:0000287, GO:0004452, GO:0005737, GO:0008299, GO:0010181, GO:0016491, GO:0070402, RefSeq:WP_011164104.1, SO:0001217, UniParc:UPI0000224D02, UniRef:UniRef100_Q6MMK2, UniRef:UniRef50_Q6MMK2, UniRef:UniRef90_Q6MMK2
contig_2	cds	57088	57435	-	DLEPHM_00054	rplT	50S ribosomal protein L20	COG:COG0292, COG:J, GO:0000027, GO:0000315, GO:0003735, GO:0005840, GO:0006412, GO:0019843, GO:0022625, GO:1990904, RefSeq:WP_011164103.1, SO:0001217, UniParc:UPI0000224D01, UniRef:UniRef100_Q6MMK3, UniRef:UniRef50_Q89WI0, UniRef:UniRef90_Q6MMK3
contig_2	cds	57503	57694	-	DLEPHM_00055	rpmI	50S ribosomal protein L35	COG:COG0291, COG:J, GO:0003735, GO:0005840, GO:0006412, GO:1990904, RefSeq:WP_011164102.1, SO:0001217, UniParc:UPI0000224D00, UniRef:UniRef100_Q6MMK4, UniRef:UniRef50_Q6MMK4, UniRef:UniRef90_Q6MMK4
contig_2	cds	58025	66511	+	DLEPHM_00056	aTS1	Putative RTX family exoprotein	COG:COG5184, COG:DZ, RefSeq:WP_011164101.1, SO:0001217, UniParc:UPI0000224CFF, UniRef:UniRef100_Q6MMK5, UniRef:UniRef50_Q6MMK5, UniRef:UniRef90_Q6MMK5
contig_2	cds	66543	67565	+	DLEPHM_00057	fes	putative Enterochelin esterase	COG:COG2382, COG:P, RefSeq:WP_011164100.1, SO:0001217, UniParc:UPI0000224CFE, UniRef:UniRef100_Q6MMK6, UniRef:UniRef50_A0A254Q974, UniRef:UniRef90_Q6MMK6
contig_2	cds	67640	69151	+	DLEPHM_00058		Acetyl-CoA hydrolase/transferase family protein	EC:2.8.3.18, KEGG:K18118, SO:0001217, UniParc:UPI0005A05171, UniRef:UniRef100_Q6MMK7, UniRef:UniRef50_A0A2S5CVM7, UniRef:UniRef90_Q6MMK7
contig_2	cds	69153	69590	-	DLEPHM_00059	dtd	D-aminoacyl-tRNA deacylase	COG:COG1490, COG:J, EC:3.1.1.96, GO:0000049, GO:0004045, GO:0005737, GO:0008152, GO:0019478, GO:0043908, GO:0051500, GO:0106026, KEGG:K07560, RefSeq:WP_011164098.1, SO:0001217, UniParc:UPI0000224CFC, UniRef:UniRef100_Q6MMK8, UniRef:UniRef50_A6LG62, UniRef:UniRef90_Q6MMK8
contig_2	cds	69744	70340	-	DLEPHM_00060	infC	translation initiation factor IF-3	COG:COG0290, COG:J, GO:0003743, GO:0006413, RefSeq:WP_038448920.1, SO:0001217, UniParc:UPI0005710152, UniRef:UniRef100_Q6MMK9, UniRef:UniRef50_M4VCF9, UniRef:UniRef90_K7YX52
contig_2	cds	70491	72461	-	DLEPHM_00061	thrS	threonine--tRNA ligase	COG:COG0441, COG:J, EC:6.1.1.3, GO:0000049, GO:0004829, GO:0005524, GO:0005737, GO:0006435, GO:0046872, KEGG:K01868, RefSeq:WP_011164096.1, SO:0001217, UniParc:UPI0000224CFA, UniRef:UniRef100_Q6MML0, UniRef:UniRef50_Q6MML0, UniRef:UniRef90_Q6MML0
contig_2	cds	72586	73278	-	DLEPHM_00062	pilZ	PilZ domain-containing protein	RefSeq:WP_011164095.1, SO:0001217, UniParc:UPI0000224CF9, UniRef:UniRef100_Q6MML1, UniRef:UniRef50_Q6MML1, UniRef:UniRef90_Q6MML1
contig_2	cds	73460	73789	+	DLEPHM_00063		Late embryogenesis abundant protein	RefSeq:WP_011164094.1, SO:0001217, UniParc:UPI0000224CF8, UniRef:UniRef100_Q6MML2, UniRef:UniRef50_K7ZF95, UniRef:UniRef90_Q6MML2
contig_2	cds	73871	74437	-	DLEPHM_00064		hypothetical protein	RefSeq:WP_011164093.1, SO:0001217, UniParc:UPI0000224CF7, UniRef:UniRef100_Q6MML3, UniRef:UniRef50_Q6MML3, UniRef:UniRef90_Q6MML3
contig_2	cds	74569	74865	-	DLEPHM_00065		hypothetical protein	
contig_2	cds	74898	76100	-	DLEPHM_00066		Putative molybdopterin oxidoreductase	RefSeq:WP_011164091.1, SO:0001217, UniParc:UPI0000224CF5, UniRef:UniRef100_A0A1Z3N9B4, UniRef:UniRef50_M4V929, UniRef:UniRef90_K7YX48
contig_2	cds	76108	76689	-	DLEPHM_00067	cccA	Cytochrome c domain-containing protein	COG:C, COG:COG2010, RefSeq:WP_011164090.1, SO:0001217, UniParc:UPI0000224CF4, UniRef:UniRef100_Q6MML6, UniRef:UniRef50_A0A3T0RR08, UniRef:UniRef90_Q6MML6
contig_2	cds	76694	77218	-	DLEPHM_00068		Iron ABC transporter	RefSeq:WP_011164089.1, SO:0001217, UniParc:UPI0000224CF3, UniRef:UniRef100_Q6MML7, UniRef:UniRef50_M4VB70, UniRef:UniRef90_Q6MML7
contig_2	cds	77218	78579	-	DLEPHM_00069	hybB	Molybdopterin oxidoreductase	COG:C, COG:COG5557, RefSeq:WP_011164088.1, SO:0001217, UniParc:UPI0000224CF2, UniRef:UniRef100_Q6MML8, UniRef:UniRef50_F0IDK0, UniRef:UniRef90_Q6MML8
contig_2	cds	78576	81713	-	DLEPHM_00070	hybA	Molybdopterin oxidoreductase, iron-sulfur binding subunit	COG:C, COG:COG0437, RefSeq:WP_050792907.1, SO:0001217, UniParc:UPI0002FB6F00, UniRef:UniRef100_Q6MML9, UniRef:UniRef50_Q6MML9, UniRef:UniRef90_Q6MML9
contig_2	cds	81726	82265	-	DLEPHM_00071		Cytochrome c3	RefSeq:WP_231839315.1, SO:0001217, UniParc:UPI000A532BED, UniRef:UniRef100_Q6MMM0, UniRef:UniRef50_Q6MMM0, UniRef:UniRef90_Q6MMM0
contig_2	cds	82440	84080	-	DLEPHM_00072	ccmC	Cytochrome C-type biogenesis protein	COG:COG0755, COG:O, RefSeq:WP_011164085.1, SO:0001217, UniParc:UPI0000224CEF, UniRef:UniRef100_A0A1Z3N992, UniRef:UniRef50_A0A923V4X1, UniRef:UniRef90_K7Z9P6
contig_2	cds	84077	85492	-	DLEPHM_00073		Putative cytochrome c biogenesis protein	RefSeq:WP_011164084.1, SO:0001217, UniParc:UPI0000224CEE, UniRef:UniRef100_Q6MMM2, UniRef:UniRef50_K7YUH4, UniRef:UniRef90_K7YUH4
contig_2	cds	85585	86400	-	DLEPHM_00074	hutG	Putative formiminoglutamase	COG:COG3741, COG:E, RefSeq:WP_050792906.1, SO:0001217, UniParc:UPI0002E3128B, UniRef:UniRef100_Q6MMM4, UniRef:UniRef50_M4VCG9, UniRef:UniRef90_Q6MMM4
contig_2	cds	86466	87041	+	DLEPHM_00075	pduO	Corrinoid adenosyltransferase	COG:COG2096, COG:H, RefSeq:WP_038448910.1, SO:0001217, UniParc:UPI0002FEF4A2, UniRef:UniRef100_Q6MMM3, UniRef:UniRef50_M4V8K4, UniRef:UniRef90_K7YN85
contig_2	cds	87053	88183	+	DLEPHM_00076		N-acetyltransferase domain-containing protein	RefSeq:WP_011164081.1, SO:0001217, UniParc:UPI0000224CEB, UniRef:UniRef100_Q6MMM5, UniRef:UniRef50_Q6MMM5, UniRef:UniRef90_Q6MMM5
contig_2	cds	88247	89767	+	DLEPHM_00077		hypothetical protein	SO:0001217, UniParc:UPI0000224CEA, UniRef:UniRef100_Q6MMM6, UniRef:UniRef50_Q6MMM6, UniRef:UniRef90_Q6MMM6
contig_2	cds	89796	90365	-	DLEPHM_00078		DUF4435 domain-containing protein	RefSeq:WP_144313811.1, SO:0001217, UniParc:UPI000A6380C7, UniRef:UniRef100_Q6MMM8, UniRef:UniRef50_Q6MMM8, UniRef:UniRef90_Q6MMM8
contig_2	cds	90541	91455	+	DLEPHM_00079	gspC	type II secretion system protein GspC	COG:COG3031, COG:NU, RefSeq:WP_011164078.1, SO:0001217, UniParc:UPI0000224CE9, UniRef:UniRef100_Q6MMM7, UniRef:UniRef50_A0A150WBK5, UniRef:UniRef90_Q6MMM7
contig_2	cds	91559	93856	+	DLEPHM_00080	gspD	type II secretion system secretin GspD	COG:COG1450, COG:NU, GO:0015627, GO:0015628, GO:0019867, RefSeq:WP_011164077.1, SO:0001217, UniParc:UPI0000224CE7, UniRef:UniRef100_Q6MMM9, UniRef:UniRef50_K7YX34, UniRef:UniRef90_K7YX34
contig_2	cds	93862	95556	+	DLEPHM_00081	gspE	type II secretion system ATPase GspE	COG:COG2804, COG:NU, GO:0005524, GO:0015627, GO:0015628, RefSeq:WP_011164076.1, SO:0001217, UniParc:UPI0000224CE6, UniRef:UniRef100_Q6MMN0, UniRef:UniRef50_A0A1W9I082, UniRef:UniRef90_K7Z9N8
contig_2	cds	95637	96854	+	DLEPHM_00082	gspF	type II secretion system inner membrane protein GspF	COG:COG1459, COG:NU, GO:0015627, GO:0015628, RefSeq:WP_011164075.1, SO:0001217, UniParc:UPI0000224CE5, UniRef:UniRef100_Q6MMN1, UniRef:UniRef50_A0A1W9HZF2, UniRef:UniRef90_Q6MMN1
contig_2	cds	96905	97330	-	DLEPHM_00083		Lipoprotein	RefSeq:WP_011164074.1, SO:0001217, UniParc:UPI0000224CE4, UniRef:UniRef100_Q6MMN2, UniRef:UniRef50_K7ZF89, UniRef:UniRef90_K7ZF89
contig_2	cds	97327	98391	-	DLEPHM_00084		hypothetical protein	RefSeq:WP_231839312.1, SO:0001217, UniParc:UPI001E3E98EC, UniRef:UniRef100_Q6MMN3, UniRef:UniRef50_Q6MMN3, UniRef:UniRef90_Q6MMN3
contig_2	cds	98814	99224	+	DLEPHM_00085	gspG	type II secretion system major pseudopilin GspG	COG:COG2165, COG:NU, GO:0015627, GO:0015628, RefSeq:WP_011164071.1, SO:0001217, UniParc:UPI0000224CE1, UniRef:UniRef100_Q6MMN5, UniRef:UniRef50_A0A849WMZ5, UniRef:UniRef90_Q6MMN5
contig_2	cds	99230	99814	+	DLEPHM_00086	gspH	Type II secretion system protein GspH	COG:COG2165, COG:NU, KEGG:K02457, RefSeq:WP_011164070.1, SO:0001217, UniParc:UPI0000224CE0, UniRef:UniRef100_Q6MMN6, UniRef:UniRef50_Q6MMN6, UniRef:UniRef90_Q6MMN6
contig_2	cds	99811	100311	+	DLEPHM_00087	gspO	Putative general secretion pathway protein I	COG:COG2165, COG:NU, RefSeq:WP_011164069.1, SO:0001217, UniParc:UPI0000224CDF, UniRef:UniRef100_Q6MMN7, UniRef:UniRef50_Q6MMN7, UniRef:UniRef90_Q6MMN7
contig_2	cds	100311	101192	+	DLEPHM_00088	gspO	Type II secretion system protein J	COG:COG2165, COG:NU, RefSeq:WP_041583511.1, SO:0001217, UniParc:UPI000303B46A, UniRef:UniRef100_Q6MMN8, UniRef:UniRef50_A0A514XHB4, UniRef:UniRef90_K7YN67
contig_2	cds	101140	102447	+	DLEPHM_00089	gspK	General secretion pathway protein GspK	COG:COG3156, COG:U, RefSeq:WP_231839311.1, SO:0001217, UniParc:UPI001E4C349A, UniRef:UniRef100_Q6MMN9, UniRef:UniRef50_A0A952TH97, UniRef:UniRef90_A0A1Z3NDF9
contig_2	cds	102508	103743	-	DLEPHM_00090		hypothetical protein	RefSeq:WP_011164066.1, SO:0001217, UniParc:UPI0000224CDC, UniRef:UniRef100_Q6MMP0, UniRef:UniRef50_K7Z9M7, UniRef:UniRef90_Q6MMP0
contig_2	cds	103905	105878	+	DLEPHM_00091	gspL	Putative type 4 fimbrial biogenesis protein PilM	COG:COG4972, COG:NU, KEGG:K02662, SO:0001217, UniParc:UPI0000224CDB, UniRef:UniRef100_Q6MMP1, UniRef:UniRef50_Q6MMP1, UniRef:UniRef90_Q6MMP1
