source           ,1..3,782,950        ,3,782,950,==,source    
dnaA             ,1..1416             ,1416     ,=>,gene      
dnaA             ,1..1416             ,1416     ,=>,CDS       
dnaN             ,1649..2755          ,1107     ,=>,gene      
dnaN             ,1649..2755          ,1107     ,=>,CDS       
recF             ,2755..3879          ,1125     ,=>,gene      
recF             ,2755..3879          ,1125     ,=>,CDS       
gyrB             ,3966..6386          ,2421     ,=>,gene      
gyrB             ,3966..6386          ,2421     ,=>,CDS       
gyrA             ,6410..8893          ,2484     ,=>,gene      
gyrA             ,6410..8893          ,2484     ,=>,CDS       
BD_RS00030       ,8895..9692          ,798      ,=>,gene      
BD_RS00030       ,8895..9692          ,798      ,=>,CDS       
BD_RS00035       ,9692..9928          ,237      ,=>,gene      
BD_RS00035       ,9692..9928          ,237      ,=>,CDS       
BD_RS00040       ,9925..10,281        ,357      ,=>,gene      
BD_RS00040       ,9925..10,281        ,357      ,=>,CDS       
BD_RS00255       ,49,361..49,555      ,195      ,=>,CDS       
BD_RS00260       ,49,662..50,582      ,921      ,=>,gene      
BD_RS00260       ,49,662..50,582      ,921      ,=>,CDS       
ligA             ,50,579..52,633      ,2055     ,<=,gene      
ligA             ,50,579..52,633      ,2055     ,<=,CDS       
gatC             ,52,687..52,968      ,282      ,=>,gene      
gatC             ,52,687..52,968      ,282      ,=>,CDS       
gatA             ,52,978..54,450      ,1473     ,=>,gene      
gatA             ,52,978..54,450      ,1473     ,=>,CDS       
gatB             ,54,440..55,873      ,1434     ,=>,gene      
gatB             ,54,440..55,873      ,1434     ,=>,CDS       
BD_RS00285       ,55,889..56,803      ,915      ,=>,gene      
BD_RS00285       ,55,889..56,803      ,915      ,=>,CDS       
BD_RS00290       ,56,811..57,236      ,426      ,=>,gene      
BD_RS00290       ,56,811..57,236      ,426      ,=>,CDS       
BD_RS00295       ,57,326..58,705      ,1380     ,=>,gene      
BD_RS00295       ,57,326..58,705      ,1380     ,=>,CDS       
BD_RS00300       ,58,773..59,141      ,369      ,<=,gene      
BD_RS00300       ,58,773..59,141      ,369      ,<=,CDS       
rho              ,59,532..61,277      ,1746     ,=>,gene      
rho              ,59,532..61,277      ,1746     ,=>,CDS       
BD_RS00310       ,61,343..61,804      ,462      ,<=,gene      
BD_RS00310       ,61,343..61,804      ,462      ,<=,CDS       
BD_RS00315       ,62,139..62,384      ,246      ,=>,gene      
BD_RS00315       ,62,139..62,384      ,246      ,=>,CDS       
prfA             ,62,532..63,605      ,1074     ,=>,gene      
prfA             ,62,532..63,605      ,1074     ,=>,CDS       
prmC             ,63,609..64,490      ,882      ,=>,gene      
prmC             ,63,609..64,490      ,882      ,=>,CDS       
murA             ,64,483..65,736      ,1254     ,=>,gene      
murA             ,64,483..65,736      ,1254     ,=>,CDS       
BD_RS00335       ,65,780..66,574      ,795      ,<=,gene      
BD_RS00335       ,65,780..66,574      ,795      ,<=,CDS       
BD_RS00340       ,66,708..67,610      ,903      ,<=,gene      
BD_RS00340       ,66,708..67,610      ,903      ,<=,CDS       
BD_RS00345       ,67,752..68,150      ,399      ,<=,gene      
BD_RS00345       ,67,752..68,150      ,399      ,<=,CDS       
BD_RS00350       ,68,411..71,308      ,2898     ,=>,gene      
BD_RS00350       ,68,411..71,308      ,2898     ,=>,CDS       
BD_RS00355       ,71,336..71,644      ,309      ,=>,gene      
BD_RS00355       ,71,336..71,644      ,309      ,=>,CDS       
serS             ,71,677..72,972      ,1296     ,=>,gene      
serS             ,71,677..72,972      ,1296     ,=>,CDS       
BD_RS00365       ,73,069..73,158      ,90       ,=>,gene      
BD_RS00365       ,73,069..73,158      ,90       ,=>,tRNA      
BD_RS00370       ,73,283..74,095      ,813      ,=>,gene      
BD_RS00370       ,73,283..74,095      ,813      ,=>,CDS       
BD_RS00375       ,74,138..74,776      ,639      ,=>,gene      
BD_RS00375       ,74,138..74,776      ,639      ,=>,CDS       
BD_RS00380       ,74,777..76,726      ,1950     ,<=,gene      
BD_RS00380       ,74,777..76,726      ,1950     ,<=,CDS       
BD_RS00385       ,76,710..78,767      ,2058     ,<=,gene      
BD_RS00385       ,76,710..78,767      ,2058     ,<=,CDS       
BD_RS00390       ,78,928..79,290      ,363      ,=>,gene      
BD_RS00390       ,78,928..79,290      ,363      ,=>,CDS       
BD_RS00395       ,79,300..80,421      ,1122     ,=>,gene      
BD_RS00395       ,79,300..80,421      ,1122     ,=>,CDS       
BD_RS00400       ,80,485..80,952      ,468      ,=>,gene      
BD_RS00400       ,80,485..80,952      ,468      ,=>,CDS       
BD_RS00405       ,81,011..83,047      ,2037     ,=>,gene      
BD_RS00405       ,81,011..83,047      ,2037     ,=>,CDS       
queF             ,83,103..83,615      ,513      ,=>,gene      
queF             ,83,103..83,615      ,513      ,=>,CDS       
BD_RS00415       ,83,846..84,274      ,429      ,=>,gene      
BD_RS00415       ,83,846..84,274      ,429      ,=>,CDS       
BD_RS00420       ,84,374..85,216      ,843      ,=>,gene      
BD_RS00420       ,84,374..85,216      ,843      ,=>,CDS       
BD_RS00425       ,85,438..85,905      ,468      ,=>,gene      
BD_RS00425       ,85,438..85,905      ,468      ,=>,CDS       
BD_RS00430       ,85,986..86,076      ,91       ,<=,gene      
BD_RS00430       ,85,986..86,076      ,91       ,<=,tRNA      
BD_RS00435       ,86,219..86,295      ,77       ,=>,gene      
BD_RS00435       ,86,219..86,295      ,77       ,=>,tRNA      
BD_RS00440       ,86,377..86,634      ,258      ,<=,gene      
BD_RS00440       ,86,377..86,634      ,258      ,<=,CDS       
BD_RS00445       ,86,828..87,535      ,708      ,=>,gene      
BD_RS00445       ,86,828..87,535      ,708      ,=>,CDS       
BD_RS00450       ,87,560..88,075      ,516      ,=>,gene      
BD_RS00450       ,87,560..88,075      ,516      ,=>,CDS       
BD_RS00455       ,88,127..88,582      ,456      ,=>,gene      
BD_RS00455       ,88,127..88,582      ,456      ,=>,CDS       
BD_RS00460       ,88,640..88,715      ,76       ,=>,gene      
BD_RS00460       ,88,640..88,715      ,76       ,=>,tRNA      
BD_RS00465       ,88,821..89,933      ,1113     ,=>,gene      
BD_RS00465       ,88,821..89,933      ,1113     ,=>,CDS       
BD_RS00470       ,90,130..90,636      ,507      ,=>,gene      
BD_RS00470       ,90,130..90,636      ,507      ,=>,CDS       
groES            ,90,812..91,099      ,288      ,=>,gene      
groES            ,90,812..91,099      ,288      ,=>,CDS       
groL             ,91,156..92,796      ,1641     ,=>,gene      
groL             ,91,156..92,796      ,1641     ,=>,CDS       
BD_RS00485       ,92,858..94,444      ,1587     ,<=,gene      
BD_RS00485       ,92,858..94,444      ,1587     ,<=,CDS       
BD_RS00490       ,94,522..95,703      ,1182     ,=>,gene      
BD_RS00490       ,94,522..95,703      ,1182     ,=>,CDS       
BD_RS00495       ,95,746..96,138      ,393      ,=>,gene      
BD_RS00495       ,95,746..96,138      ,393      ,=>,CDS       
BD_RS00500       ,96,125..96,385      ,261      ,=>,gene      
BD_RS00500       ,96,125..96,385      ,261      ,=>,CDS       
BD_RS00505       ,96,483..96,683      ,201      ,<=,gene      
BD_RS00505       ,96,483..96,683      ,201      ,<=,CDS       
BD_RS00510       ,96,873..97,178      ,306      ,<=,gene      
BD_RS00510       ,96,873..97,178      ,306      ,<=,CDS       
BD_RS00515       ,97,194..98,846      ,1653     ,<=,gene      
BD_RS00515       ,97,194..98,846      ,1653     ,<=,CDS       
BD_RS00520       ,98,877..99,725      ,849      ,<=,gene      
BD_RS00520       ,98,877..99,725      ,849      ,<=,CDS       
tadA             ,99,756..101,942     ,2187     ,<=,gene      
tadA             ,99,756..101,942     ,2187     ,<=,CDS       
BD_RS00530       ,102,028..103,557    ,1530     ,<=,gene      
BD_RS00530       ,102,028..103,557    ,1530     ,<=,CDS       
cpaB             ,103,592..104,497    ,906      ,<=,gene      
cpaB             ,103,592..104,497    ,906      ,<=,CDS       
BD_RS00540       ,104,515..104,940    ,426      ,<=,gene      
BD_RS00540       ,104,515..104,940    ,426      ,<=,CDS       
BD_RS00545       ,105,015..105,608    ,594      ,<=,gene      
BD_RS00545       ,105,015..105,608    ,594      ,<=,CDS       
BD_RS00550       ,105,666..105,914    ,249      ,<=,gene      
BD_RS00550       ,105,666..105,914    ,249      ,<=,CDS       
BD_RS00555       ,105,911..106,105    ,195      ,<=,gene      
BD_RS00555       ,105,911..106,105    ,195      ,<=,CDS       
BD_RS00560       ,106,156..106,344    ,189      ,<=,gene      
BD_RS00560       ,106,156..106,344    ,189      ,<=,CDS       
BD_RS00565       ,106,498..106,806    ,309      ,<=,gene      
BD_RS00565       ,106,498..106,806    ,309      ,<=,CDS       
BD_RS00570       ,106,817..108,304    ,1488     ,<=,gene      
BD_RS00570       ,106,817..108,304    ,1488     ,<=,CDS       
hpt              ,108,603..109,121    ,519      ,<=,gene      
hpt              ,108,603..109,121    ,519      ,<=,CDS       
BD_RS00580       ,109,134..109,856    ,723      ,<=,gene      
BD_RS00580       ,109,134..109,856    ,723      ,<=,CDS       
BD_RS00585       ,109,856..110,593    ,738      ,<=,gene      
BD_RS00585       ,109,856..110,593    ,738      ,<=,CDS       
BD_RS00590       ,110,628..111,389    ,762      ,<=,gene      
BD_RS00590       ,110,628..111,389    ,762      ,<=,CDS       
BD_RS00595       ,111,549..112,925    ,1377     ,=>,gene      
BD_RS00595       ,111,549..112,925    ,1377     ,=>,CDS       
BD_RS00600       ,112,926..114,272    ,1347     ,=>,gene      
BD_RS00600       ,112,926..114,272    ,1347     ,=>,CDS       
BD_RS00605       ,114,269..115,297    ,1029     ,=>,gene      
BD_RS00605       ,114,269..115,297    ,1029     ,=>,CDS       
BD_RS00610       ,115,301..116,818    ,1518     ,=>,gene      
BD_RS00610       ,115,301..116,818    ,1518     ,=>,CDS       
mltG             ,116,818..117,900    ,1083     ,=>,gene      
mltG             ,116,818..117,900    ,1083     ,=>,CDS       
BD_RS00620       ,117,897..118,391    ,495      ,<=,gene      
BD_RS00620       ,117,897..118,391    ,495      ,<=,CDS       
lysC             ,118,470..119,858    ,1389     ,=>,gene      
lysC             ,118,470..119,858    ,1389     ,=>,CDS       
BD_RS00630       ,119,907..120,506    ,600      ,=>,gene      
BD_RS00630       ,119,907..120,506    ,600      ,=>,CDS       
dusB             ,120,739..121,752    ,1014     ,=>,gene      
dusB             ,120,739..121,752    ,1014     ,=>,CDS       
typA             ,121,875..123,689    ,1815     ,=>,gene      
typA             ,121,875..123,689    ,1815     ,=>,CDS       
BD_RS00645       ,123,689..124,615    ,927      ,=>,gene      
BD_RS00645       ,123,689..124,615    ,927      ,=>,CDS       
BD_RS00650       ,124,615..125,403    ,789      ,=>,gene      
BD_RS00650       ,124,615..125,403    ,789      ,=>,CDS       
BD_RS00655       ,125,404..125,811    ,408      ,<=,gene      
BD_RS00655       ,125,404..125,811    ,408      ,<=,CDS       
mtgA             ,125,808..126,641    ,834      ,<=,gene      
mtgA             ,125,808..126,641    ,834      ,<=,CDS       
BD_RS00665       ,126,649..127,641    ,993      ,<=,gene      
BD_RS00665       ,126,649..127,641    ,993      ,<=,CDS       
BD_RS00670       ,127,638..128,219    ,582      ,<=,gene      
BD_RS00670       ,127,638..128,219    ,582      ,<=,CDS       
BD_RS00675       ,128,279..129,067    ,789      ,=>,gene      
BD_RS00675       ,128,279..129,067    ,789      ,=>,CDS       
BD_RS00680       ,129,082..129,831    ,750      ,=>,gene      
BD_RS00680       ,129,082..129,831    ,750      ,=>,CDS       
nagZ             ,129,832..130,944    ,1113     ,<=,gene      
nagZ             ,129,832..130,944    ,1113     ,<=,CDS       
BD_RS00690       ,130,948..131,826    ,879      ,<=,gene      
BD_RS00690       ,130,948..131,826    ,879      ,<=,CDS       
BD_RS00695       ,131,949..134,168    ,2220     ,=>,gene      
BD_RS00695       ,131,949..134,168    ,2220     ,=>,CDS       
BD_RS18285       ,134,263..135,723    ,1461     ,=>,gene      
BD_RS18285       ,134,263..135,723    ,1461     ,=>,CDS       
BD_RS00705       ,135,789..136,742    ,954      ,=>,gene      
BD_RS00705       ,135,789..136,742    ,954      ,=>,CDS       
BD_RS00710       ,136,796..137,989    ,1194     ,<=,gene      
BD_RS00710       ,136,796..137,989    ,1194     ,<=,CDS       
BD_RS00715       ,138,002..138,991    ,990      ,<=,gene      
BD_RS00715       ,138,002..138,991    ,990      ,<=,CDS       
BD_RS00720       ,138,988..140,007    ,1020     ,<=,gene      
BD_RS00720       ,138,988..140,007    ,1020     ,<=,CDS       
BD_RS00725       ,140,064..140,933    ,870      ,<=,gene      
BD_RS00725       ,140,064..140,933    ,870      ,<=,CDS       
BD_RS00730       ,141,134..142,690    ,1557     ,<=,gene      
BD_RS00730       ,141,134..142,690    ,1557     ,<=,CDS       
BD_RS00735       ,142,818..144,008    ,1191     ,<=,gene      
BD_RS00735       ,142,818..144,008    ,1191     ,<=,CDS       
BD_RS00740       ,144,029..145,747    ,1719     ,<=,gene      
BD_RS00740       ,144,029..145,747    ,1719     ,<=,CDS       
uvrA             ,145,762..148,686    ,2925     ,<=,gene      
uvrA             ,145,762..148,686    ,2925     ,<=,CDS       
BD_RS00750       ,148,707..151,382    ,2676     ,<=,gene      
BD_RS00750       ,148,707..151,382    ,2676     ,<=,CDS       
BD_RS00755       ,151,464..152,855    ,1392     ,<=,gene      
BD_RS00755       ,151,464..152,855    ,1392     ,<=,CDS       
mscL             ,153,033..153,467    ,435      ,<=,gene      
mscL             ,153,033..153,467    ,435      ,<=,CDS       
BD_RS00765       ,153,483..154,193    ,711      ,<=,gene      
BD_RS00765       ,153,483..154,193    ,711      ,<=,CDS       
BD_RS00770       ,154,307..154,567    ,261      ,=>,gene      
BD_RS00770       ,154,307..154,567    ,261      ,=>,CDS       
ftsE             ,154,640..155,302    ,663      ,=>,gene      
ftsE             ,154,640..155,302    ,663      ,=>,CDS       
BD_RS00780       ,155,299..156,192    ,894      ,=>,gene      
BD_RS00780       ,155,299..156,192    ,894      ,=>,CDS       
BD_RS00785       ,156,195..157,310    ,1116     ,=>,gene      
BD_RS00785       ,156,195..157,310    ,1116     ,=>,CDS       
BD_RS00790       ,157,315..158,691    ,1377     ,=>,gene      
BD_RS00790       ,157,315..158,691    ,1377     ,=>,CDS       
BD_RS00795       ,158,755..159,315    ,561      ,=>,gene      
BD_RS00795       ,158,755..159,315    ,561      ,=>,CDS       
BD_RS00800       ,159,377..160,078    ,702      ,<=,gene      
BD_RS00800       ,159,377..160,078    ,702      ,<=,CDS       
BD_RS00805       ,160,205..162,970    ,2766     ,<=,gene      
BD_RS00805       ,160,205..162,970    ,2766     ,<=,CDS       
BD_RS00810       ,163,152..163,502    ,351      ,=>,gene      
BD_RS00810       ,163,152..163,502    ,351      ,=>,CDS       
BD_RS00815       ,163,489..163,947    ,459      ,=>,gene      
BD_RS00815       ,163,489..163,947    ,459      ,=>,CDS       
BD_RS00820       ,164,001..164,507    ,507      ,<=,gene      
BD_RS00820       ,164,001..164,507    ,507      ,<=,CDS       
BD_RS00825       ,164,672..166,972    ,2301     ,<=,gene      
BD_RS00825       ,164,672..166,972    ,2301     ,<=,CDS       
BD_RS00830       ,166,965..168,350    ,1386     ,<=,gene      
BD_RS00830       ,166,965..168,350    ,1386     ,<=,CDS       
BD_RS00835       ,168,364..169,224    ,861      ,<=,gene      
BD_RS00835       ,168,364..169,224    ,861      ,<=,CDS       
BD_RS00840       ,169,233..169,649    ,417      ,<=,gene      
BD_RS00840       ,169,233..169,649    ,417      ,<=,CDS       
tolQ             ,169,652..170,389    ,738      ,<=,gene      
tolQ             ,169,652..170,389    ,738      ,<=,CDS       
BD_RS00850       ,170,450..171,259    ,810      ,<=,gene      
BD_RS00850       ,170,450..171,259    ,810      ,<=,CDS       
BD_RS00855       ,171,513..171,968    ,456      ,=>,gene      
BD_RS00855       ,171,513..171,968    ,456      ,=>,CDS       
sufB             ,171,961..173,418    ,1458     ,=>,gene      
sufB             ,171,961..173,418    ,1458     ,=>,CDS       
sufC             ,173,461..174,219    ,759      ,=>,gene      
sufC             ,173,461..174,219    ,759      ,=>,CDS       
sufD             ,174,229..175,488    ,1260     ,=>,gene      
sufD             ,174,229..175,488    ,1260     ,=>,CDS       
BD_RS00875       ,175,494..176,723    ,1230     ,=>,gene      
BD_RS00875       ,175,494..176,723    ,1230     ,=>,CDS       
BD_RS00880       ,176,720..177,280    ,561      ,=>,gene      
BD_RS00880       ,176,720..177,280    ,561      ,=>,CDS       
BD_RS00885       ,177,287..177,952    ,666      ,=>,gene      
BD_RS00885       ,177,287..177,952    ,666      ,=>,CDS       
BD_RS00890       ,177,923..178,480    ,558      ,<=,gene      
BD_RS00890       ,177,923..178,480    ,558      ,<=,CDS       
BD_RS00895       ,178,462..180,426    ,1965     ,<=,gene      
BD_RS00895       ,178,462..180,426    ,1965     ,<=,CDS       
BD_RS00900       ,180,584..182,836    ,2253     ,<=,gene      
BD_RS00900       ,180,584..182,836    ,2253     ,<=,CDS       
ssrS             ,182,914..183,093    ,180      ,<=,gene      
other            ,182,914..183,093    ,180      ,<=,ncRNA     
BD_RS00905       ,183,234..183,392    ,159      ,=>,gene      
BD_RS00905       ,183,234..183,392    ,159      ,=>,CDS       
BD_RS00910       ,183,449..184,855    ,1407     ,=>,gene      
BD_RS00910       ,183,449..184,855    ,1407     ,=>,CDS       
BD_RS00915       ,184,857..185,081    ,225      ,=>,gene      
BD_RS00915       ,184,857..185,081    ,225      ,=>,CDS       
BD_RS00920       ,185,085..185,954    ,870      ,=>,gene      
BD_RS00920       ,185,085..185,954    ,870      ,=>,CDS       
BD_RS00925       ,185,956..186,732    ,777      ,=>,gene      
BD_RS00925       ,185,956..186,732    ,777      ,=>,CDS       
BD_RS00930       ,186,743..187,702    ,960      ,=>,gene      
BD_RS00930       ,186,743..187,702    ,960      ,=>,CDS       
BD_RS00935       ,187,741..189,033    ,1293     ,=>,gene      
BD_RS00935       ,187,741..189,033    ,1293     ,=>,CDS       
BD_RS00940       ,189,076..190,392    ,1317     ,<=,gene      
BD_RS00940       ,189,076..190,392    ,1317     ,<=,CDS       
BD_RS00945       ,190,690..192,051    ,1362     ,=>,gene      
BD_RS00945       ,190,690..192,051    ,1362     ,=>,CDS       
BD_RS00950       ,192,048..192,791    ,744      ,<=,gene      
BD_RS00950       ,192,048..192,791    ,744      ,<=,CDS       
BD_RS00955       ,192,810..193,298    ,489      ,=>,gene      
BD_RS00955       ,192,810..193,298    ,489      ,=>,CDS       
BD_RS00960       ,193,302..194,936    ,1635     ,=>,gene      
BD_RS00960       ,193,302..194,936    ,1635     ,=>,CDS       
BD_RS00965       ,194,933..199,786    ,4854     ,<=,gene      
BD_RS00965       ,194,933..199,786    ,4854     ,<=,CDS       
BD_RS00970       ,199,989..201,020    ,1032     ,=>,gene      
BD_RS00970       ,199,989..201,020    ,1032     ,=>,CDS       
BD_RS00975       ,201,123..202,166    ,1044     ,=>,gene      
BD_RS00975       ,201,123..202,166    ,1044     ,=>,CDS       
BD_RS00980       ,202,226..202,696    ,471      ,=>,gene      
BD_RS00980       ,202,226..202,696    ,471      ,=>,CDS       
BD_RS00985       ,202,677..203,633    ,957      ,=>,gene      
BD_RS00985       ,202,677..203,633    ,957      ,=>,CDS       
BD_RS00990       ,203,630..205,597    ,1968     ,=>,gene      
BD_RS00990       ,203,630..205,597    ,1968     ,=>,CDS       
BD_RS00995       ,205,755..206,327    ,573      ,=>,gene      
BD_RS00995       ,205,755..206,327    ,573      ,=>,CDS       
BD_RS01000       ,206,317..206,724    ,408      ,<=,gene      
BD_RS01000       ,206,317..206,724    ,408      ,<=,CDS       
lpoB             ,206,894..207,493    ,600      ,=>,gene      
lpoB             ,206,894..207,493    ,600      ,=>,CDS       
BD_RS01010       ,207,497..208,747    ,1251     ,=>,gene      
BD_RS01010       ,207,497..208,747    ,1251     ,=>,CDS       
BD_RS01015       ,208,916..209,380    ,465      ,=>,gene      
BD_RS01015       ,208,916..209,380    ,465      ,=>,CDS       
BD_RS01020       ,209,451..209,996    ,546      ,<=,gene      
BD_RS01020       ,209,451..209,996    ,546      ,<=,CDS       
BD_RS01025       ,210,261..210,761    ,501      ,=>,gene      
BD_RS01025       ,210,261..210,761    ,501      ,=>,CDS       
BD_RS01030       ,211,023..212,750    ,1728     ,=>,gene      
BD_RS01030       ,211,023..212,750    ,1728     ,=>,CDS       
BD_RS01035       ,212,811..213,449    ,639      ,<=,gene      
BD_RS01035       ,212,811..213,449    ,639      ,<=,CDS       
BD_RS01040       ,213,494..214,093    ,600      ,=>,gene      
BD_RS01040       ,213,494..214,093    ,600      ,=>,CDS       
BD_RS01045       ,214,170..216,245    ,2076     ,=>,gene      
BD_RS01045       ,214,170..216,245    ,2076     ,=>,CDS       
BD_RS01050       ,216,245..217,342    ,1098     ,=>,gene      
BD_RS01050       ,216,245..217,342    ,1098     ,=>,CDS       
BD_RS01055       ,217,355..218,884    ,1530     ,=>,gene      
BD_RS01055       ,217,355..218,884    ,1530     ,=>,CDS       
BD_RS01060       ,218,950..219,243    ,294      ,=>,gene      
BD_RS01060       ,218,950..219,243    ,294      ,=>,CDS       
BD_RS01065       ,219,286..220,017    ,732      ,=>,gene      
BD_RS01065       ,219,286..220,017    ,732      ,=>,CDS       
BD_RS01070       ,220,077..220,889    ,813      ,=>,gene      
BD_RS01070       ,220,077..220,889    ,813      ,=>,CDS       
BD_RS01075       ,220,904..222,328    ,1425     ,<=,gene      
BD_RS01075       ,220,904..222,328    ,1425     ,<=,CDS       
tadA             ,222,472..223,413    ,942      ,<=,gene      
tadA             ,222,472..223,413    ,942      ,<=,CDS       
